ticker,security,sbti_company_name,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_year,net_zero_status,net_zero_year,full_target_language,date_updated
ECL,Ecolab,Ecolab Inc.,Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target: 
Ecolab Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2050.
Near-Term Targets: 
Ecolab commits to reduce absolute scope 1 and 2 GHG emissions 50.4% by 2030 from a 2018 base year.* Ecolab also commits to increase active annual sourcing of renewable electricity from 12.9% in 2018 to 100% by 2030. Ecolab further commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel and energy related activities, upstream transportation and distribution, and downstream leased assets 25% by 2030 from a 2022 base year.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.
Long-Term Targets: 
Ecolab commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2018 base year.* Ecolab also commits to reduce absolute scope 3 GHG emissions 90% by 2050 from a 2022 base year.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.",2024-08-29 01:00:00
EFX,Equifax,Equifax Inc.,Targets set,1.5°C,2032.0,,,,,Equifax Inc. commits to reduce absolute scope 1 and 2 GHG emissions 54.6% by 2032 from a 2019 base year. Equifax Inc. also commits that 73% of its suppliers by spend covering purchased goods & services and capital goods will have science-based targets by 2027.,2023-10-05 01:00:00
ELV,Elevance Health,Elevance Health,Targets set,1.5°C,2030.0,,,,,"Elevance Health Inc. commits to reduce absolute scope 1 GHG emissions 46.2% by 2030 from a 2019 base year. Elevance Health Inc. also commits to continue active annual sourcing of 100% renewable electricity through 2030. Elevance Health Inc. further commits that 75% of its suppliers by spend, covering purchased goods and services, will have science-based targets by 2028.",2024-09-19 01:00:00
EME,Emcor,"EMCOR Group, Inc.",Commitment removed,,,,,,,,2022-12-08 01:00:00
EMR,Emerson Electric,Emerson Electric Co.,Targets set,1.5°C,FY2030,Targets set,FY2045,Targets set,FY2045,"Overall Net-Zero Target Emerson commits to reach net-zero greenhouse gas emissions across the value chain by FY2045. Near-Term Targets Emerson commits to reduce absolute scope 1 and scope 2 GHG emissions 90% by FY2030 from a FY2021 base year.* Emerson also commits to reduce absolute scope 3 GHG emissions 25% within the same timeframe. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks. Long-Term Targets Emerson commits to maintain at least 90% absolute scope 1 and 2 GHG emission reductions from FY2030 through FY2045, relative to a FY2021 base year.* Emerson also commits to reduce absolute scope 3 GHG emissions 90% by FY2045 from a FY2021 base year. *The target boundary includes land-related emissions and removals from bioenergy feedstocks.",2023-05-18 01:00:00
EQIX,Equinix,"Equinix, Inc.",Targets set,1.5°C,2030.0,Targets set,2040.0,Targets set,2040.0,"Overall Net-Zero Target: Equinix, Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2040.
 Near-Term Targets: Equinix, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year.* Equinix, Inc. also commits to increase active annual sourcing of renewable electricity from 87% in 2019 to 100% by 2030. Equinix, Inc. further commits to reduce absolute scope 3 GHG emissions  from fuel and energy related activities 50% by 2030 from a 2019 base year.* Equinix, Inc. finally commits that 66% of its suppliers by emissions covering purchased goods and services and capital goods, will have science-based targets by 2025.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.
 Long-Term Targets: Equinix, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2040 from a 2019 base year.*  Equinix, Inc. also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.*
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.",2025-04-17 01:00:00
ES,Eversource Energy,Eversource Energy,Commitment removed,,,,,,,,2022-11-30 01:00:00
ESS,Essex Property Trust,"Essex Property Trust, Inc.",Targets set,1.5°C,2034.0,,,,,"Near-Term Targets: Essex Property Trust, Inc. commits to reduce scope 1 and 2 absolute GHG emissions 67.2% by 2034 from a 2018 base year. Essex Property Trust, Inc. also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, upstream transportation and distribution, waste generated in operations and downstream leased assets 35% by 2034 from a 2023 base year.",2025-06-19 01:00:00
ETN,Eaton Corporation,Eaton,Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,Overall Net-Zero Target: Eaton commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-Term Targets: Eaton commits to reduce absolute scope 1 and 2 GHG emissions 50.4% by 2030 from a 2018 base year. Eaton also commits to reduce scope 3 GHG emissions 58.1% per USD value added  within the same timeframe.  Long-Term Targets: Eaton commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2018 base year. Eaton also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.,2025-04-10 01:00:00
EW,Edwards Lifesciences,Edwards Lifesciences,Targets set,1.5°C,2030.0,,,,,"Edwards Lifesciences commits to reduce absolute scope 1 and 2 GHG
emissions 42% by 2030 from a 2021 base year. Edwards Lifesciences also
commits to reduce scope 3 GHG emissions 51.6% per USD of value added
within the same timeframe.",2023-07-13 01:00:00
EXPE,Expedia Group,Expedia Group,Targets set,1.5°C,2030.0,,,,,"Expedia Group, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 75% by 2030 from a 2022 base year. Expedia Group, Inc. also commits that 78% of its suppliers by emissions covering purchased goods and services, capital goods, and business travel, will have science-based targets by 2028.",2024-09-19 01:00:00
F,Ford Motor Company,Ford Motor Company,Targets set,1.5°C/Well-below 2°C,2035.0,,,Commitment removed,,Ford Motor Company commits to reduce absolute scope 1 and scope 2 GHG emissions 76% by 2035 from a 2017 base year. Ford Motor Company also commits to reduce scope 3 use of sold products GHG emissions 50% per vehicle kilometer by 2035 from a 2019 base year. Auto manufacturers have two near-term target temperature alignments for 1) scope 1 and 2 emissions and 2) scope 3 category 11 emissions from use of sold products.,2021-03-31 01:00:00
FCX,Freeport-McMoRan,Freeport-McMoRan Inc.,Commitment removed,,,,,,,,2022-04-14 01:00:00
FDX,FedEx,FedEx Corporation,Targets set,1.5°C,FY2035,,,,,"Near-Term Targets:
FedEx Corporation commits to reduce absolute scope 1 and 2 GHG emissions 58.8% by FY2035 from a FY2024 base year.* FedEx Corporation also commits to reduce absolute scope 3 GHG emissions from fuel- and energy-related activities and upstream transportation and distribution 35.0% within the same timeframe. FedEx Corporation further commits that 70.0% of its suppliers by spend covering purchased goods and services and capital goods, will have science-based targets by FY2030.

*The target boundary includes land-related emissions and removals from biogenic feedstocks.",2026-04-23 01:00:00
FFIV,"F5, Inc.","F5, Inc.",Targets set,1.5°C,FY2030,,,,,"F5, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50%
by FY2030 from a FY2021 base year. 
F5, Inc. also commits to reduce
absolute scope 3 GHG emissions 43% within the same timeframe.",2024-09-05 01:00:00
FLEX,Flex Ltd.,Flex Ltd.,Targets set,1.5°C,2030.0,,,,,"Flex commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year*. Flex commits that 70% of its customers by emissions covering purchased goods and services, capital goods and use of sold products, will have science-based targets by 2025. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.",2021-04-22 01:00:00
FRT,Federal Realty Investment Trust,Federal Realty Investment Trust,Targets set,1.5°C,2030.0,,,,,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Federal Realty Investment Trust commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions.",2022-09-29 01:00:00
FSLR,First Solar,First Solar Inc,Targets set,1.5°C,2028.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target First Solar Inc commits to reach net-zero GHG emissions across the value chain by 2050. Near-Term Targets First Solar commits to reduce absolute scope 1 and 2 GHG emissions 34% by 2028 from a 2020 base year. First Solar also commits to reduce scope 3 GHG emissions from purchased goods and services 45% per MW produced within the same timeframe. Long-Term Targets First Solar Inc commits to reduce absolute Scope 1 and 2 GHG emissions 90% by 2050 from a 2020 base year. First Solar Inc commits to reduce Scope 3 GHG emissions from purchased goods and services, capital goods, and fuel- and energy-related activities 97% per MW produced within the same timeframe.",2023-08-31 01:00:00
FTNT,Fortinet,Fortinet,Targets set,1.5°C,2030.0,,,Commitment removed,,"Fortinet commits to reduce absolute scope 1 and 2 GHG emissions 58.80% by 2030 from a 2021 base year. Fortinet also commits that 69.24% of its customers by revenue covering use of sold products, will have science-based targets by 2029. Fortinet further commits that 60.50% of its suppliers by spend covering purchased goods and services and upstream transportation and distribution, will have science-based targets by 2029.",2025-01-16 01:00:00
GEHC,GE HealthCare,GE Healthcare,Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target: GE Healthcare  commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-Term Targets: GE Healthcare commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2022 base year*. GE Healthcare also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, upstream transportation and distribution, business travel and use of sold products 25% by 2030 from a 2022 base year. 
*The target boundary includes land-related emissions and removals from bioenergy feedstocks. Long-Term Targets: GE HealthCare commits to reduce absolute scope 1, 2 and 3 GHG emissions 90% by 2050 from a 2022 base year*.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.",2024-06-27 01:00:00
GILD,Gilead Sciences,"Gilead Sciences, Inc.",Targets set,1.5°C,2030.0,,,,,Gilead Sciences commits to reduce absolute scope 1 and 2 GHG emissions 46% by 2030 from a 2019 base year. Gilead Sciences also commits to reduce absolute scope 3 GHG emissions 15% over the same timeframe.,2021-05-27 01:00:00
GIS,General Mills,General Mills Inc.,Targets set,1.5°C,FY2030,Targets set,FY2050,Targets set,FY2050,"Overall Net-Zero Target: General Mills Inc. commits to reach net-zero greenhouse gas emissions across the value chain by FY2050. Near-Term Targets: General Mills commits to reduce absolute scope 1, 2, and scope 3 GHG emissions from purchased goods and services, fuel and energy-related activities, upstream transportation and distribution, waste generated in operations, business travel, and end of life treatement of sold products 30% by FY2030 from a FY2020 base year.* Within that target, General Mills commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from a FY2020 base year.*
*The target boundary includes land-related emissions and removals from bioenergy feedstocks. Long-Term Targets: General Mills commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2050 from a FY2020 base year.* General Mills also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel and energy-related activities, upstream transportation and distribution, waste generated in operations, business travel, downstream transportation and distribution and end of life treatement of sold products 90% within the same timeframe.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.",2024-09-26 01:00:00
GLW,Corning Inc.,Corning Incorporated,Targets set,1.5°C,2028.0,,,,,"Corning Incorporated commits to reduce absolute scope 1 and 2 GHG
emissions 30% by 2028 from a 2021 base year. Corning Incorporated also
commits to reduce absolute scope 3 GHG emissions covering purchased
goods and services, capital goods, fuel and energy related activities and
upstream transportation and distribution 17.5% within the same
timeframe.",2023-09-21 01:00:00
GM,General Motors,General Motors,Targets set,1.5°C/Well-below 2°C,2035.0,,,Commitment removed,,General Motors commits to reduce absolute scope 1 and 2 GHG emissions 72% by 2035 from a 2018 base year*. General Motors Company commits to reduce scope 3 GHG emissions from use of sold products of light duty vehicles 51% per vehicle kilometer by 2035 from a 2018 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks. Auto manufacturers have two near-term target temperature alignments for 1) scope 1 and 2 emissions and 2) scope 3 category 11 emissions from use of sold products.,2021-05-20 01:00:00
HAS,Hasbro,"Hasbro, Inc.",Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target
Hasbro commits to reach net-zero greenhouse gas emissions across the value chain by 2050 from a 2020 base year.
Near-Term Targets
Hasbro commits to reduce absolute scope 1 and 2 GHG emissions 47.5% by 2030 from a 2020 base year. Hasbro also commits to reduce absolute scope 3 GHG emissions 42% within the same timeframe.
Long-Term Targets
Hasbro commits to reduce absolute scope 1, 2, and 3 GHG emissions 90% by 2050 from a 2020 base year.",2023-07-20 01:00:00
HD,Home Depot,The Home Depot,Targets set,1.5°C,FY2030,,,,,The Home Depot commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from a FY2020 base year. The Home Depot commits to reduce absolute scope 3 GHG emissions from the use of sold products 42% within the same timeframe.,2024-03-28 01:00:00
HON,Honeywell,Honeywell International Inc.,Targets set,Well-below 2°C,2037.0,,,,,"Honeywell International Inc. commits to reduce absolute scope 1 and 2 GHG
emissions 50% by 2037 from a 2019 base year. Honeywell International
Inc. also commits to reduce absolute scope 3 GHG emissions 23% within
the same timeframe.",2023-05-11 01:00:00
HPE,Hewlett Packard Enterprise,Hewlett Packard Enterprise Company,Targets set,1.5°C,FY2030,Targets set,FY2040,Targets set,FY2040,Overall Net-Zero Target Hewlett Packard Enterprise commits to reach net-zero greenhouse gas emissions across the value chain by FY2040 from a FY2020 base year. Near-Term Targets Hewlett Packard Enterprise commits to reduce absolute scope 1 and 2 GHG emissions 70% by FY2030 from a FY2020 base year. Hewlett Packard Enterprise also commits to reduce absolute scope 3 GHG emissions 42% within the same timeframe. Long-Term Targets Hewlett Packard Enterprise commits to reduce absolute scope 1 and 2 emissions 90% by FY2040 from a FY2020 base year. Hewlett Packard Enterprise also commits to reduce absolute scope 3 emissions 90% within the same time frame.,2022-07-21 01:00:00
HPQ,HP Inc.,HP Inc.,Targets set,1.5°C,FY2030,Targets set,FY2040,Targets set,FY2040,"Overall Net-Zero Target: HP Inc. commits to reach net-zero greenhouse gas emissions across the value chain by FY2040. Near-Term Targets: HP Inc. commits to reduce absolute scope 1, 2 and 3 GHG emissions 50% by FY2030 from a FY2019 base year. Long-Term Targets: HP Inc. commits to reduce absolute scope 1, 2 and 3 GHG emissions 90% by FY2040 from a FY2019 base year.",2024-12-12 01:00:00
HRL,Hormel Foods,Hormel Foods Corporation,Targets set,1.5°C,2030.0,,,,,Hormel Foods Corporation commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year. Hormel Foods Corporation also commits to reduce absolute scope 3 GHG emissions 27.5% within the same timeframe.,2023-10-19 01:00:00
HSIC,Henry Schein,"Henry Schein, Inc.",Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target: Henry Schein, Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-Term Targets: Henry Schein, Inc. commits to reduce absolute scope 1 GHG emissions 42% by 2030 from 2022 base year. Henry Schein, Inc. also commits to increase active annual sourcing of renewable electricity from 0% in 2022 to 100% by 2030. Henry Schein Inc. further commits to reduce scope 3 GHG emissions 51.6% per million USD value added by 2030 from a 2022 base year. Long-Term Targets: Henry Schein, Inc. commits to reduce absolute scope 1 GHG emissions 90% by 2050 from a 2022 base year. Henry Schein, Inc. also commits to continue active annual sourcing of 100% renewable electricity through 2030. Henry Schein, Inc. further commits to reduce scope 3 GHG emissions 97% per million USD value added by 2050 from a 2022 base year.",2025-01-16 01:00:00
HST,Host Hotels & Resorts,"Host Hotels & Resorts, Inc.",Targets set,1.5°C,2030.0,,,,,"Near-Term Targets: Host Hotels & Resorts, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 54% by 2030 from a 2019 base year.",2025-09-04 01:00:00
HUM,Humana,Humana Inc.,Targets set,1.5°C,2029.0,,,,,"Headline target: Humana Inc.'s portfolio targets cover 30% of its total investment and lending by
assets under management as of 2022. As of that year, required activities made up 30% of Humana Inc.’s total investment and lending by assets under management while optional activities made up 6% and out of scope activities made up 64%.
https://files.sciencebasedtargets.org/production/files/Target-language-and-summary_Humana-Inc.pdf",2025-06-05 01:00:00
IFF,International Flavors & Fragrances,International Flavors & Fragrances Inc.,Targets set,1.5°C,2030.0,,,,,"International Flavors & Fragrances, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2021 base year.
International Flavors & Fragrances, Inc., also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel and energy related activities, upstream transportation and distribution, waste generated in operations, and processing of sold products 30% within the same timeframe.",2023-08-03 01:00:00
INTU,Intuit,Intuit,Targets set,1.5°C,FY2030,Targets set,FY2040,Targets set,FY2040,Overall Net Zero target Intuit Inc. commits to reach net-zero greenhouse gas emissions across the value chain by FY2040. Near-Term Targets Intuit Inc. commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from a FY2022 base year. Intuit Inc also commits that 80% of its suppliers by emissions covering purchased goods and services will have science-based targets by FY2027. Long-Term Targets Intuit Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2040 from a FY2022 base year. Intuit Inc also commits to reduce scope 3 GHG emissions 97% per million USD value added within the same timeframe.,2023-07-13 01:00:00
IP,International Paper,International Paper Company,Targets set,Well-below 2°C,2030.0,,,,,"International Paper commits to reduce absolute scope 1, 2 and 3 GHG emissions 35% by 2030 from a 2019 base year. Within this target, International Paper commits to reduce absolute scope 1 and 2 GHG emissions 32.8%, * and to reduce absolute scope 3 GHG emissions 35.7% by 2030 from a 2019 base year. *The target boundary includes bioenergy emissions and removals from bioenergy feedstocks.",2021-11-11 01:00:00
IQV,IQVIA,IQVIA Holdings Inc,Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target
IQVIA commits to reach net-zero greenhouse gas emissions across the value chain by
2050.
Near-Term Targets
IQVIA commits to reduce absolute scope 1 and 2 GHG emissions 55.1% by 2030 from a
2019 base year.* IQVIA also commits to reduce absolute scope 3 GHG emissions from
business travel 55% per FTE within the same timeframe. IQVIA further commits that 70%
of its suppliers by emissions, covering purchased goods and services, capital goods, and
upstream transport and distribution, will have science-based targets by 2027.
*The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks.
Long-Term Targets
IQVIA commits to reduce absolute scope 1,2 and 3 GHG emissions 90% by 2050 from a 2019 base year.*
*The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks.",2023-11-23 01:00:00
IR,Ingersoll Rand,Ingersoll Rand Inc.,Targets set,1.5°C,2034.0,Targets set,2050.0,Targets set,2050.0,Overall Net-Zero Target: Ingersoll Rand Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-Term Targets: Ingersoll Rand Inc. commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2020 base year. Ingersoll Rand Inc. also commits to reduce scope 3 GHG emissions from use of sold products 63.8% per USD value added by 2034 from a 2020 base year.  Long-Term Targets: Ingersoll Rand Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2020 base year. Ingersoll Rand Inc. also commits to reduce scope 3 GHG emissions from use of sold products 97% per USD value added within the same timeframe. ,2024-12-12 01:00:00
IRM,Iron Mountain,Iron Mountain,Targets set,1.5°C,2033.0,Targets set,2040.0,Targets set,2040.0,"Overall Net-Zero Target: Iron Mountain Incorporated commits to reach net-zero greenhouse gas emissions across the value chain by 2040. Near-Term Targets: Iron Mountain Incorporated commits to reduce absolute scope 1 and 2 GHG emissions 54.6% by 2033 from a 2022 base year.* Iron Mountain Incorporated commits that 84.2% of its suppliers by emissions covering purchased goods and services, capital goods, business travel, upstream transportation and distribution, will have science-based targets by 2028.* *The target boundary includes land-related emissions and removals from bioenergy feedstocks. Long-Term Targets: Iron Mountain Incorporated commits to reduce absolute scope 1 and 2 GHG emissions by 90% by 2040 from a 2022 base year.* Iron Mountain Incorporated also commits to reduce absolute scope 3 GHG emissions by 90% within the same timeframe.* *The target boundary includes land-related emissions and removals from bioenergy feedstocks.",2024-11-14 01:00:00
IT,Gartner,"Gartner, Inc.",Targets set,1.5°C,2029.0,,,,,"Gartner Inc. commits to reduce absolute scope 1 and 2 GHG emissions 53% by 2029 from a 2019 base year. Gartner Inc. also commits to reduce scope 3 GHG emissions from business travel and employee commuting 52% per FTE within the same timeframe. Gartner Inc. further commits that 50% of suppliers by spend covering purchased goods and services and capital goods, will set science-based targets by 2027.",2024-01-04 01:00:00
JBL,Jabil,Jabil Inc.,Commitment removed,,,,,Commitment removed,,,2022-10-20 01:00:00
JCI,Johnson Controls,Johnson Controls International plc,Targets set,1.5°C,2030.0,,,,,Johnson Controls International plc commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2017 base year*. Johnson Controls International plc also commits to reduce absolute scope 3 GHG emissions from the use of sold products 16% by 2030 from a 2017 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks,2021-03-25 01:00:00
JNJ,Johnson & Johnson,Johnson & Johnson,Targets set,1.5°C,2030.0,,,Commitment removed,,"Johnson & Johnson commits to reduce absolute scope 1 and 2 GHG emissions
44% by 2030 from a 2021 base year.* Johnson & Johnson also commits that 80%
of its suppliers by emissions covering purchased goods and services and
upstream transportation and distribution, will have science-based targets by 2028.
* The target boundary includes biogenic land-related emissions and removals from
bioenergy feedstocks.",2024-04-04 01:00:00
KDP,Keurig Dr Pepper,Keurig Dr Pepper,Targets set,1.5°C,2030.0,,,,,"Energy & Industry:
Keurig Dr Pepper commits to reduce absolute scope 1 and 2 GHG emissions 50.4% by 2030
from a 2018 base year. Keurig Dr Pepper also commits to reduce absolute scope 3 GHG
emissions from purchased goods and services, fuel and energy related activities, upstream
transportation and distribution, and use of sold products 25% by 2030 from a 2022 base year.
FLAG:
Keurig Dr Pepper commits to reduce absolute scope 3 FLAG GHG emissions 30.3% by 2030
from a 2022 base year.* Keurig Dr Pepper also commits to no deforestation across its primary
deforestation-linked commodities, with a target date of December 31, 2025.
*The target includes FLAG emissions and removals.",2025-03-20 01:00:00
KEYS,Keysight Technologies,"Keysight Technologies, Inc.",Targets set,1.5°C,FY2030,,,,,"Keysight Technologies commits to reduce absolute scope 1 and 2 GHG emissions
42% by FY2030 from a FY2021 base year. Keysight Technologies also commits
that 73% of its customers by emissions covering use of sold products, will have
science-based targets by FY2028.",2023-11-09 01:00:00
KHC,Kraft Heinz,The Kraft Heinz Company,Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"Overall net-zero target:
The Kraft Heinz Company commits to reach net-zero greenhouse gas emissions across the value chain by 2050.
Near-term targets:
Energy & Industry: The Kraft Heinz Company commits to reduce absolute scope 1 and 2 emissions 50% by 2030 from a 2021 base year.* The Kraft Heinz Company also commits to reduce absolute scope 3 GHG emissions 50% within the same timeframe.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.
FLAG: The Kraft Heinz Company commits to reduce absolute scope 3 FLAG GHG emissions 30.3% by 2030 from a 2021 base year.* The Kraft Heinz Company also commits to no deforestation across its primary deforestation-linked commodities, with a target date of December 31, 2025.
*The target includes FLAG emissions and removals.
Long-term targets:
Energy & Industry: The Kraft Heinz Company commits to reduce absolute scope 1, 2 and 3 GHG emissions 90% by 2050 from a 2021 base year.*
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.
FLAG: The Kraft Heinz Company commits to reduce absolute scope 3 FLAG GHG emissions 72% by 2050 from a 2021 base year.*
*The target includes FLAG emissions and removals.",2025-05-15 01:00:00
KIM,Kimco Realty,Kimco Realty Corporation,Targets set,Well-below 2°C,2030.0,,,,,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/
Kimco Realty Corporation commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.",2021-02-25 01:00:00
KLAC,KLA Corporation,KLA Corporation,Targets set,1.5°C,2030.0,,,,,"KLA Corporation commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2021 base year. KLA Corporation also commits to reduce scope 3 GHG emissions from use of sold products 52% per billion transistors inspected, measured, or processed within the same timeframe.",2024-08-15 01:00:00
KMB,Kimberly-Clark,Kimberly-Clark Corporation,Targets set,Well-below 2°C,2030.0,,,,,Kimberly-Clark Corporation commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2015 base year. Kimberly-Clark Corporation also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and end of life treatment of sold products 20% by 2030 from a 2015 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.,2020-06-25 01:00:00
KR,Kroger,The Kroger Co.,Commitment removed,,,,,,,,2022-06-30 01:00:00
KVUE,Kenvue,Kenvue Inc.,Targets set,1.5°C,2030.0,,,Commitment removed,,"Kenvue commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2020 base year.*
Kenvue also commits that 75% of its suppliers by emissions covering purchased goods and services and upstream transportation and distribution, will have science-based targets by 2028.
(*The target boundary includes land-related emissions and removals from bioenergy feedstocks.)",2024-05-02 01:00:00
LH,Labcorp,Labcorp,Targets set,1.5°C,2030.0,,,,,"Labcorp commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2020 base year. Labcorp also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, upstream transportation and distribution and downstream transportation and distribution 25% within the same timeframe.",2023-08-24 01:00:00
LII,Lennox International,Lennox International Inc.,Targets set,Well-below 2°C,2034.0,,,,,Lennox International Inc. commits to reduce absolute scope 1 and 2 GHG emissions 37.5% by 2034 from a 2019 base year. Lennox International Inc. also commits to reduce scope 3 GHG emissions 30% per product sold by 2034 from a 2019 base year,2022-01-06 01:00:00
LIN,Linde,Linde plc,Targets set,Well-below 2°C,2035.0,,,,,Linde plc commits to reduce absolute scope 1 and 2 GHG emissions 35% by 2035 from a 2021 base year*. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.,2022-10-20 01:00:00
LITE,Lumentum,Lumentum Holdings Inc,Targets set,1.5°C,FY2030,Targets set,FY2050,Targets set,FY2050,Overall Net-Zero Target: Lumentum commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-Term Targets: Lumentum commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2030 from a FY2022 base year. Lumentum also commits to reduce scope 3 GHG emissions from fuel- and energy-related activities and use of sold products 52% per data capacity delivered (Gbps) of sold cloud and networking products within the same timeframe. Lumentum further commits that 30% of its suppliers by emissions covering purchased goods and services will have science-based targets by FY2028. Lumentum finally commits that 25% of its customers by emissions covering use of sold products will have science-based targets by FY2028. Long-Term Targets: Lumentum commits to maintain a minimum of 90% absolute scope 1 and 2 GHG emissions from FY2030 through FY2050 from a FY2022 base year. Lumentum also commits to reduce absolute scope 3 GHG emissions 90% by FY2050 from a FY2022 base year.,2025-01-23 01:00:00
LRCX,Lam Research,Lam Research Corporation,Targets set,1.5°C,2034.0,,,,,Near-Term Targets: Lam Research Corporation commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by 2030 from a 2019 base year. Lam Research Corporation also commits to reduce scope 3 GHG emissions from use of sold products 63.8% per USD value added by 2034 from a 2022 base year.,2025-06-05 01:00:00
LVS,Las Vegas Sands,Las Vegas Sands Corp,Targets set,1.5°C,2030.0,,,,,"Near-Term Targets: Las Vegas Sands Corp commits to reduce absolute scope 1 and 2 GHG emissions 60.2% by 2030 from a 2018 base year. Las Vegas Sands Corp also commits that 72.85% of its suppliers by emissions, covering purchased goods and services and capital goods, will have science-based targets by 2030.",2025-07-24 01:00:00
MA,Mastercard,Mastercard,Targets set,1.5°C,2030.0,,,,,"Near-Term Targets:
Mastercard commits to reduce absolute scope 1, 2 and 3 GHG emissions 60.2% by 2030 from a 2016 base year. Within this target, Mastercard commits to reduce scope 1 and 2 GHG emissions 90.0% and scope 3 GHG emissions 59.0% within the same timeframe.",2026-09-10 01:00:00
